2025-10-14T13:26:30.635Z: Error reading about.html: ENOENT: no such file or directory, open 'C:\College\SEM 5\WebTech\Lab10\about.html'
2025-10-28T10:48:46.784Z: Error reading index.html: ENOENT: no such file or directory, open 'C:\College\SEM 5\WebTech\Lab10\index.html'
2025-10-28T10:48:58.377Z: Error reading pages/style.css: ENOENT: no such file or directory, open 'C:\College\SEM 5\WebTech\Lab10\pages\style.css'
2025-10-28T10:48:59.893Z: Error reading pages/style.css: ENOENT: no such file or directory, open 'C:\College\SEM 5\WebTech\Lab10\pages\style.css'
2025-10-28T10:49:00.349Z: Error reading index.html: ENOENT: no such file or directory, open 'C:\College\SEM 5\WebTech\Lab10\index.html'
2025-10-28T10:49:18.046Z: Error reading index.html: ENOENT: no such file or directory, open 'C:\College\SEM 5\WebTech\Lab10\index.html'
2025-10-28T10:49:26.555Z: Error reading index.html: ENOENT: no such file or directory, open 'C:\College\SEM 5\WebTech\Lab10\index.html'
2025-10-28T10:49:27.159Z: Error reading index.html: ENOENT: no such file or directory, open 'C:\College\SEM 5\WebTech\Lab10\index.html'
2025-10-28T10:49:27.316Z: Error reading index.html: ENOENT: no such file or directory, open 'C:\College\SEM 5\WebTech\Lab10\index.html'
2025-10-28T10:49:27.449Z: Error reading index.html: ENOENT: no such file or directory, open 'C:\College\SEM 5\WebTech\Lab10\index.html'
2025-10-28T10:49:27.615Z: Error reading index.html: ENOENT: no such file or directory, open 'C:\College\SEM 5\WebTech\Lab10\index.html'
2025-10-28T10:49:27.797Z: Error reading index.html: ENOENT: no such file or directory, open 'C:\College\SEM 5\WebTech\Lab10\index.html'
2025-10-28T10:49:27.921Z: Error reading index.html: ENOENT: no such file or directory, open 'C:\College\SEM 5\WebTech\Lab10\index.html'
2025-10-28T10:49:28.057Z: Error reading index.html: ENOENT: no such file or directory, open 'C:\College\SEM 5\WebTech\Lab10\index.html'
2025-10-28T10:50:08.616Z: Error reading /pages/index.html: ENOENT: no such file or directory, open 'C:\pages\index.html'
2025-10-28T10:50:09.011Z: Error reading /pages/index.html: ENOENT: no such file or directory, open 'C:\pages\index.html'
2025-10-28T10:50:09.156Z: Error reading /pages/index.html: ENOENT: no such file or directory, open 'C:\pages\index.html'
2025-10-28T10:50:09.279Z: Error reading /pages/index.html: ENOENT: no such file or directory, open 'C:\pages\index.html'
2025-10-28T10:50:09.500Z: Error reading /pages/index.html: ENOENT: no such file or directory, open 'C:\pages\index.html'
2025-10-28T10:50:09.664Z: Error reading /pages/index.html: ENOENT: no such file or directory, open 'C:\pages\index.html'
2025-10-28T10:50:09.812Z: Error reading /pages/index.html: ENOENT: no such file or directory, open 'C:\pages\index.html'
2025-10-28T10:50:10.055Z: Error reading /pages/index.html: ENOENT: no such file or directory, open 'C:\pages\index.html'
2025-10-28T10:50:10.162Z: Error reading /pages/index.html: ENOENT: no such file or directory, open 'C:\pages\index.html'
2025-10-28T10:50:16.901Z: Error reading /pages/about.html: ENOENT: no such file or directory, open 'C:\pages\about.html'
